COMMUNE_NOM;COLL_INSEE;ENFANT_SEXE;ENFANT_PRENOM;NOMBRE_OCCURRENCES;ANNEE
ANGERS;49007;F;Eléonore;5;2021
ANGERS;49007;F;Eugénie;5;2021
ANGERS;49007;F;Lily;5;2021
ANGERS;49007;F;Aliénor;4;2021
ANGERS;49007;F;Aminata;4;2021
ANGERS;49007;F;Eden;4;2021
ANGERS;49007;F;Hanna;4;2021
ANGERS;49007;F;Isaure;4;2021
ANGERS;49007;F;Lana;4;2021
ANGERS;49007;F;Maïssa;4;2021
ANGERS;49007;F;Maxine;4;2021
ANGERS;49007;F;Suzanne;4;2021
ANGERS;49007;M;Paul;25;2021
ANGERS;49007;M;Lyam;15;2021
ANGERS;49007;M;Oscar;13;2021
ANGERS;49007;M;Timéo;13;2021
ANGERS;49007;M;Soan;12;2021
ANGERS;49007;M;Théo;12;2021
ANGERS;49007;M;Victor;11;2021
ANGERS;49007;M;Abel;9;2021
ANGERS;49007;M;Jean;9;2021
ANGERS;49007;M;Octave;8;2021
ANGERS;49007;M;Elie;7;2021
ANGERS;49007;M;Joseph;7;2021
ANGERS;49007;M;Marcel;7;2021
ANGERS;49007;M;Sohan;7;2021
ANGERS;49007;M;Thomas;6;2021
ANGERS;49007;M;Ruben;5;2021
ANGERS;49007;M;Ahmed;4;2021
ANGERS;49007;M;Aimé;4;2021
ANGERS;49007;M;Amaury;4;2021
ANGERS;49007;M;Andréa;4;2021
ANGERS;49007;M;Bastien;4;2021
ANGERS;49007;M;Edouard;4;2021
ANGERS;49007;M;Eloi;4;2021
ANGERS;49007;M;Justin;4;2021
ANGERS;49007;M;Pierre;4;2021
ANGERS;49007;M;Sandro;4;2021
ANGERS;49007;M;Timothé;4;2021
ANGERS;49007;F;Alice;34;2021
ANGERS;49007;F;Ambre;32;2021
ANGERS;49007;F;Romy;26;2021
ANGERS;49007;F;Capucine;16;2021
ANGERS;49007;F;Margot;16;2021
ANGERS;49007;F;Léa;15;2021
ANGERS;49007;F;Léonie;15;2021
ANGERS;49007;F;Soline;15;2021
ANGERS;49007;F;Louna;14;2021
ANGERS;49007;F;Mathilde;13;2021
ANGERS;49007;F;Luna;12;2021
ANGERS;49007;F;Salomé;11;2021
ANGERS;49007;F;Clémence;9;2021
ANGERS;49007;F;Lise;9;2021
ANGERS;49007;F;Charlotte;8;2021
ANGERS;49007;F;Alma;7;2021
ANGERS;49007;F;Garance;7;2021
ANGERS;49007;F;Augustine;6;2021
ANGERS;49007;F;Coline;6;2021
ANGERS;49007;F;Norah;6;2021
ANGERS;49007;F;Sophie;5;2021
ANGERS;49007;F;Camélia;4;2021
ANGERS;49007;F;Diana;4;2021
ANGERS;49007;F;Fatima;4;2021
ANGERS;49007;F;Gabrielle;4;2021
