"Id","Titre","Artiste","Année","Durée","Genre"
88,"My Girl ","The Temptations",1964,00:02:55,"Blues"
89,"California Dreamin' ","The Mamas and the Papas",1965,00:02:38,"Pop"
90,"In the Still of the Night ","The Five Satins",1956,00:03:04,"Jazz"
91,"Suspicious Minds ","Elvis Presley",1969,00:03:44,"Pop"
92,"Blitzkrieg Bop ","Ramones",1976,00:02:03,"Rock"
93,"I Still Haven't Found What I'm Looking For ","U2",1987,00:04:37,"Rock"
94,"Good Golly, Miss Molly ","Little Richard",1958,00:02:10,"Rock"
95,"Blue Suede Shoes ","Carl Perkins",1956,00:02:14,"Rock"
96,"Great Balls of Fire ","Jerry Lee Lewis",1957,00:01:51,"Rock"
97,"Roll Over Beethoven ","Chuck Berry",1956,00:02:22,"Rock"
98,"Love and Happiness ","Al Green",1973,00:05:06,"Soul – R&B"
99,"Fortunate Son ","Creedence Clearwater Revival",1969,00:02:17,"Country"
100,"You Can't Always Get What You Want ","The Rolling Stones",1969,00:07:28,"Rock"
101,"Voodoo Child (Slight Return) ","The Jimi Hendrix Experience",1970,00:05:13,"Pop"
102,"Be-Bop-A-Lula ","Gene Vincent and His Blue Caps",1956,00:02:38,"Pop"
103,"Hot Stuff ","Donna Summer",1979,00:05:15,"Soul – R&B"
104,"Living for the City ","Stevie Wonder",1973,00:07:22,"Soul – R&B"
105,"The Boxer ","Simon and Garfunkel",1969,00:05:12,"Folk"
106,"Mr. Tambourine Man ","Bob Dylan",1965,00:05:26,"Rock"
107,"Not Fade Away ","Buddy Holly and the Crickets",1957,00:02:22,"Pop"
108,"Little Red Corvette ","Prince",1983,00:04:56,"Pop"
109,"Brown Eyed Girl ","Van Morrison",1967,00:03:05,"Rock"
110,"I've Been Loving You Too Long (to Stop Now) ","Otis Redding",1965,00:02:56,"Soul – R&B"
111,"I'm So Lonesome I Could Cry ","Hank Williams",1949,00:02:48,"Country"
112,"That's All Right ","Elvis Presley",1954,00:01:55,"Rock"
113,"Up on the Roof ","The Drifters",1963,00:02:36,"Jazz"
114,"Da Doo Ron Ron ","The Crystals",1963,00:02:20,"Pop"
115,"You Send Me ","Sam Cooke",1957,00:02:43,"Soul – R&B"
116,"Honky Tonk Women ","The Rolling Stones",1969,00:02:59,"Rock"
117,"Take Me to the River ","Al Green",1974,00:03:44,"Soul – R&B"
118,"Shout (Partie 1 et 2) ","The Isley Brothers",1959,00:04:43,"Rock"
