"Id","Titre","Artiste","Année","Durée","Genre"
374,"Brown Eyed Handsome Man ","Chuck Berry",1956,00:02:17,"Electro"
375,"Another Brick in the Wall Part 2 ","Pink Floyd",1979,00:05:29,"Rock"
376,"Fake Plastic Trees ","Radiohead",1994,00:04:50,"Indé et Alternatif"
377,"Hit the Road Jack ","Ray Charles",1961,00:01:58,"Jazz"
378,"Pride (In the Name of Love) ","U2",1984,00:03:48,"Rock"
379,"Radio Free Europe ","R.E.M.",1981,00:03:44,"Rock"
380,"Goodbye Yellow Brick Road ","Elton John",1973,00:03:12,"Rock"
381,"Tell It Like It Is ","Aaron Neville",1966,00:03:11,"Pop"
382,"Bitter Sweet Symphony ","The Verve",1997,00:05:57,"Pop"
383,"Whipping Post ","The Allman Brothers Band",1969,00:05:11,"Jazz"
384,"Ticket to Ride ","The Beatles",1965,00:03:10,"Rock"
385,"Ohio ","Crosby, Stills, Nash and Young",1970,00:03:00,"Rock"
386,"I Know You Got Soul ","Eric B. and Rakim",1987,00:01:58,"Soul – R&B"
387,"Tiny Dancer ","Elton John",1972,00:06:15,"Pop"
388,"Roxanne ","The Police",1978,00:03:08,"Rock"
389,"Just My Imagination (Running Away with Me) ","The Temptations",1971,00:03:49,"Blues"
390,"Baby I Need Your Loving ","The Four Tops",1964,00:02:59,"Soul – R&B"
391,"Band of Gold ","Freda Payne",1970,00:03:02,"Pop"
392,"O-o-h Child ","Five Stairsteps",1970,00:03:17,"Soul – R&B"
393,"Summer in the City ","The Lovin' Spoonful",1966,00:02:42,"Pop"
394,"Can't Help Falling in Love ","Elvis Presley",1961,00:02:57,"Pop"
395,"Remember (Walkin' in the Sand) ","The Shangri-Las",1964,00:02:16,"Pop"
396,"Thirteen ","Big Star",1972,00:02:34,"Pop"
397,"(Don't Fear) The Reaper ","Blue Öyster Cult",1976,00:05:08,"Rock"
398,"Sweet Home Alabama ","Lynyrd Skynyrd",1974,00:04:43,"Pop"
399,"Enter Sandman ","Metallica",1991,00:05:33,"Hard Rock – Metal"
400,"Kicks ","Paul Revere and the Raiders",1966,00:02:59,"Pop"
401,"Tonight's the Night ","The Shirelles",1961,00:01:59,"Soul – R&B"
402,"Thank You (Falettinme Be Mice Elf Agin) ","Sly and the Family Stone",1969,00:04:47,"Soul – R&B"
403,"C'mon Everybody ","Eddie Cochran",1958,00:01:57,"Pop"
404,"Visions of Johanna ","Bob Dylan",1966,00:07:34,"Folk"
405,"We've Only Just Begun ","The Carpenters",1970,00:03:04,"Pop"
406,"I Believe I Can Fly ","R. Kelly",1996,00:05:21,"Rap – Hip-Hop"
407,"In Bloom ","Nirvana",1992,00:04:14,"Rock"
408,"Sweet Emotion ","Aerosmith",1975,00:04:34,"Rock"
409,"Crossroads ","Cream",1968,00:04:15,"Pop"
410,"Monkey Gone to Heaven ","Pixies",1989,00:02:58,"Indé et Alternatif"
411,"I Feel Love ","Donna Summer",1977,00:05:55,"Soul – R&B"
412,"Ode to Billie Joe ","Bobbie Gentry",1967,00:04:15,"Folk"
413,"The Girl Can't Help It ","Little Richard",1956,00:02:29,"Rock"
414,"Young Blood ","The Coasters",1957,00:02:17,"Soul – R&B"
415,"Can't Help Myself ","The Four Tops",1965,00:02:46,"Soul – R&B"
416,"The Boys of Summer ","Don Henley",1984,00:04:48,"Rock"
417,"Fuck tha Police ","N.W.A",1988,00:05:43,"Rap – Hip-Hop"
418,"Suite: Judy Blue Eyes ","Crosby, Stills & Nash",1969,00:07:24,"Rock"
419,"Nuthin' but a 'G' Thang ","Dr. Dre",1992,00:03:55,"Rap – Hip-Hop"
420,"It's Your Thing ","The Isley Brothers",1969,00:02:46,"Soul – R&B"
421,"Piano Man ","Billy Joel",1973,00:05:39,"Pop"
422,"Lola ","The Kinks",1973,00:04:09,"Rock"
423,"Blue Suede Shoes ","Elvis Presley",1956,00:01:58,"Rock"
424,"Tumbling Dice ","The Rolling Stones",1972,00:03:46,"Rock"
425,"William, It Was Really Nothing ","The Smiths",1984,00:02:11,"Indé et Alternatif"
426,"Smoke on the Water ","Deep Purple",1973,00:05:37,"Rock"
427,"New Year's Day ","U2",1983,00:05:35,"Rock"
428,"Devil with a Blue Dress On / Good Golly, Miss Molly ","Mitch Ryder and the Detroit Wheels",1966,00:03:30,"Pop"
429,"Everybody Needs Somebody to Love ","Solomon Burke",1964,00:02:51,"Soul – R&B"
430,"(White Man) In Hammersmith Palais ","The Clash",1978,00:04:00,"Indé et Alternatif"
431,"Ain't That a Shame ","Fats Domino",1955,00:02:26,"Rock"
432,"Midnight Train to Georgia ","Gladys Knight and the Pips",1973,00:04:39,"Pop"
433,"Ramble On ","Led Zeppelin",1969,00:04:28,"Rock"
434,"Mustang Sally ","Wilson Pickett",1966,00:03:07,"Pop"
435,"Beast of Burden ","The Rolling Stones",1978,00:04:25,"Rock"
436,"Alone Again Or ","Love",1968,00:03:13,"Rock"
437,"Love Me Tender ","Elvis Presley",1956,00:02:48,"Pop"
438,"I Wanna Be Your Dog ","The Stooges",1969,00:03:10,"Pop"
439,"Pink Houses ","John Cougar Mellencamp",1983,00:06:11,"Rock"
440,"Push It ","Salt-N-Pepa",1987,00:04:33,"Rap – Hip-Hop"
441,"Come Go with Me ","The Del-Vikings",1956,00:02:43,"Pop"
442,"Keep A-Knockin' ","Little Richard",1957,00:02:23,"Pop"
443,"I Shot the Sheriff ","Bob Marley and the Wailers",1973,00:04:41,"Reggae"
444,"I Got You Babe ","Sonny and Cher",1965,00:03:10,"Pop"
445,"Come as You Are ","Nirvana",1992,00:03:38,"Rock"
446,"Pressure Drop ","Toots and the Maytals",1970,00:02:56,"Reggae"
447,"Leader of the Pack ","The Shangri-Las",1964,00:02:50,"Pop"
448,"Heroin ","The Velvet Underground",1967,00:07:13,"Rock"
449,"Penny Lane ","The Beatles",1967,00:03:00,"Rock"
450,"By the Time I Get to Phoenix ","Glen Campbell",1967,00:02:44,"Country"
451,"The Twist ","Chubby Checker",1960,00:02:34,"Pop"
452,"Cupid ","Sam Cooke",1961,00:02:37,"Soul – R&B"
453,"Paradise City ","Guns N' Roses",1989,00:06:48,"Rock"
454,"My Sweet Lord ","George Harrison",1971,00:04:41,"Rock"
455,"All Apologies ","Nirvana",1993,00:04:23,"Hard Rock – Metal"
456,"Stagger Lee ","Lloyd Price",1958,00:02:23,"Pop"
457,"Sheena Is a Punk Rocker ","Ramones",1977,00:02:49,"Pop"
458,"Soul Man ","Sam & Dave",1967,00:02:39,"Soul – R&B"
459,"Rollin' Stone ","Muddy Waters",1950,00:03:06,"Pop"
460,"One Fine Day ","The Chiffons",1963,00:02:07,"Pop"
461,"Kiss ","Prince and the Revolution",1986,00:03:12,"Rock"
462,"Respect Yourself ","The Staple Singers",1971,00:04:56,"Gospel"
463,"Rain ","The Beatles",1966,00:03:01,"Rock"
464,"Standing in the Shadows of Love ","The Four Tops",1966,00:01:02,"Soul – R&B"
465,"Surrender ","Cheap Trick",1978,00:04:13,"Rock"
466,"Runaway ","Del Shannon",1961,00:02:17,"Rock"
467,"Welcome to the Jungle ","Guns N' Roses",1987,00:04:34,"Rock"
468,"Search and Destroy ","The Stooges",1987,00:03:28,"Indé et Alternatif"
469,"It's Too Late ","Carole King",1971,00:03:53,"Pop"
470,"Free Man in Paris ","Joni Mitchell",1971,00:03:59,"Rock"
471,"On the Road Again ","Willie Nelson",1980,00:02:34,"Country"
472,"Where Did Our Love Go ","The Supremes",1964,00:02:31,"Soul – R&B"
473,"Do Right Woman – Do Right Man ","Aretha Franklin",1967,00:03:14,"Soul – R&B"
474,"One Nation Under a Groove ","Funkadelic",1978,00:07:30,"Soul – R&B"
475,"Sabotage ","Beastie Boys",1994,00:02:58,"Rap – Hip-Hop"
476,"I Want to Know What Love Is ","Foreigner",1984,00:05:00,"Hard Rock – Metal"
477,"Super Freak ","Rick James",1981,00:03:24,"Soul – R&B"
478,"White Rabbit ","Jefferson Airplane",1967,00:03:15,"Rock"
479,"Lady Marmalade ","LaBelle",1974,00:03:56,"Soul – R&B"
480,"Into the Mystic ","Van Morrison",1970,00:03:27,"Rock"
481,"Young Americans ","David Bowie",1975,00:05:13,"Pop"
482,"I'm Eighteen ","Alice Cooper",1970,00:02:58,"Pop"
483,"Just Like Heaven ","The Cure",1987,00:03:32,"Indé et Alternatif"
484,"I Love Rock 'n' Roll ","Joan Jett and the Blackhearts",1982,00:05:06,"Rock"
485,"Graceland ","Paul Simon",1986,00:04:51,"Pop"
486,"How Soon Is Now? ","The Smiths",1985,00:06:48,"Indé et Alternatif"
487,"Under the Boardwalk ","The Drifters",1964,00:02:38,"Soul – R&B"
488,"Rhiannon ","Fleetwood Mac",1964,00:07:53,"Rock"
489,"I Will Survive ","Gloria Gaynor",1978,00:03:16,"Pop"
490,"Brown Sugar ","The Rolling Stones",1971,00:03:48,"Rock"
491,"You Don't Have to Say You Love Me ","Dusty Springfield",1966,00:02:49,"Pop"
492,"Running on Empty ","Jackson Browne",1978,00:05:30,"Pop"
493,"Then He Kissed Me ","The Crystals",1963,00:02:33,"Pop"
494,"Desperado ","Eagles",1973,00:03:33,"Pop"
495,"Shop Around ","Smokey Robinson and the Miracles",1960,00:02:49,"Soul – R&B"
496,"Miss You ","The Rolling Stones",1978,00:04:48,"Rock"
497,"Buddy Holly ","Weezer",1994,00:02:39,"Pop"
498,"Rainy Night in Georgia ","Brook Benton",1969,00:03:37,"Soul – R&B"
499,"The Boys Are Back in Town ","Thin Lizzy",1976,00:04:26,"Rock"
500,"More Than a Feeling ","Boston",1976,00:04:45,"Rock"
