Année;Département (code);Département (libellé);Commune active (code);Commune active (libellé);Nombre de personnes;Nombre de personnes de 15 ans ou plus;Nombre de personnes actives de 15 ans ou plus;Nombre de personnes actives de 15 ans ou plus ayant un emploi
2012;72;Sarthe;72038;Boëssé-le-Sec;620.999999;485.4019;301.656662;243.683541
2012;72;Sarthe;72066;Chapelle-Saint-Fray;453.0;337.093816;248.232421;220.221744
2012;72;Sarthe;72093;Cormes;894.000002;722.153329;509.579994;484.746666
2012;72;Sarthe;72129;Fatines;796.0;594.0;421.0;424.0
2012;72;Sarthe;72168;Loué;2184.0;1784.318248;929.952589;834.978709
2012;72;Sarthe;72234;Pezé-le-Robert;364.999999;297.370567;182.997263;186.975481
2012;72;Sarthe;72237;Pirmil;496.000003;372.000006;258.825401;224.380956
2012;72;Sarthe;72243;Pontvallain;1740.000002;1318.307015;747.407407;702.481296
2012;72;Sarthe;72244;Précigné;3069.999999;2447.858291;1442.881072;1274.631795
2012;72;Sarthe;72256;Rouez;774.999998;576.767362;367.577136;330.719801
2012;72;Sarthe;72293;Saint-Jean-du-Bois;632.999999;502.697164;297.691833;236.549762
2012;72;Sarthe;72303;Saint-Michel-de-Chavaignes;787.0;627.108182;386.232205;331.204492
2012;72;Sarthe;72307;Saint-Ouen-en-Champagne;197.0;151.0;94.0;84.0
2012;72;Sarthe;72308;Saint-Paterne;1586.000001;1341.732788;713.924789;657.206155
2012;72;Sarthe;72326;Saosnes;209.999998;170.624995;110.048065;129.230776
2012;85;Vendée;85017;Beaurepaire;2248.0;1666.0;1175.0;1108.0
2012;85;Vendée;85058;Chasnais;692.000002;543.50632;349.39692;298.928476
2012;85;Vendée;85064;Chauché;2373.0;1896.296356;1269.266142;1158.967386
2012;85;Vendée;85089;Ferrière;4920.000002;3861.994239;2477.030958;2230.399193
2012;85;Vendée;85213;Rives de l'Yon;2660.0;2172.347125;1282.88565;1207.652945
2012;85;Vendée;85222;Saint-Gilles-Croix-de-Vie;7409.000001;6631.551355;2565.06336;2250.431009
2012;85;Vendée;85239;Saint-Maixent-sur-Vie;969.0;744.00293;511.442938;458.502439
2012;85;Vendée;85259;Saint-Paul-en-Pareds;1210.999998;902.215126;663.837223;627.627909
2012;85;Vendée;85273;Saint-Urbain;1734.0;1291.214201;861.135283;760.45772
2012;85;Vendée;85288;Talmont-Saint-Hilaire;7259.0;6104.0;3084.0;2660.0
2012;85;Vendée;85305;Vouvant;842.000001;729.28897;357.088547;343.120292
2013;44;Loire-Atlantique;44009;Basse-Goulaine;8352.0;6797.0;3969.0;3758.0
2013;44;Loire-Atlantique;44044;Conquereuil;1064.0;774.0;372.0;427.0
2013;44;Loire-Atlantique;44052;Donges;7319.0;5643.0;3281.0;2983.0
2013;44;Loire-Atlantique;44062;Gâvre;1707.0;1220.0;771.0;699.0
2013;44;Loire-Atlantique;44136;Préfailles;1217.0;1085.0;408.0;337.0
2013;44;Loire-Atlantique;44215;Vertou;22811.0;18795.0;10724.0;9847.0
2013;49;Maine-et-Loire;49090;Cheffes;970.0;755.0;477.0;456.0
2013;49;Maine-et-Loire;49103;Combrée;2827.0;2236.0;1253.0;1084.0
2013;49;Maine-et-Loire;49115;Coutures;516.0;398.0;259.0;235.0
2013;49;Maine-et-Loire;49175;Linières-Bouton;62.0;31.0;4.0;12.0
2013;49;Maine-et-Loire;49189;Marigné;686.0;517.0;338.0;344.0
2013;49;Maine-et-Loire;49194;Mazé-Milon;4981.0;3763.0;2327.0;2222.0
